Date : 2025-08-26 16:23:23
Directory : c:\Users\ashis\quizzy
Total : 184 files,  20958 codes, 512 comments, 3252 blanks, all 24722 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\ashis\quizzy\quiz-app\components\Landing\components.css           | PostCSS            |         18 |          0 |          1 |         19 |
| c:\Users\ashis\quizzy\quiz-app\components\Modetoggle.tsx                   | TypeScript JSX     |         36 |          0 |          2 |         38 |
| c:\Users\ashis\quizzy\quiz-app\components\Navbar.tsx                       | TypeScript JSX     |         47 |          0 |          4 |         51 |
| c:\Users\ashis\quizzy\quiz-app\components\PollingWrapper.tsx               | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\ashis\quizzy\quiz-app\components\RainbowButton.tsx                | TypeScript JSX     |         24 |          1 |          2 |         27 |
| c:\Users\ashis\quizzy\quiz-app\components\Sessionprovider.tsx              | TypeScript JSX     |         47 |          0 |         10 |         57 |
| c:\Users\ashis\quizzy\quiz-app\components\SmoothScroll.tsx                 | TypeScript JSX     |         31 |          1 |          6 |         38 |
| c:\Users\ashis\quizzy\quiz-app\components\Tooltip.tsx                      | TypeScript JSX     |         26 |          0 |          1 |         27 |
| c:\Users\ashis\quizzy\quiz-app\components\dashboard\Loading.tsx            | TypeScript JSX     |         27 |          0 |          3 |         30 |
| c:\Users\ashis\quizzy\quiz-app\components\dashboard\Sidebar.tsx            | TypeScript JSX     |        149 |          5 |         10 |        164 |
| c:\Users\ashis\quizzy\quiz-app\components\getToken.tsx                     | TypeScript JSX     |          3 |          0 |          3 |          6 |
| c:\Users\ashis\quizzy\quiz-app\components\loader\loader.css                | PostCSS            |         42 |          1 |          5 |         48 |
| c:\Users\ashis\quizzy\quiz-app\components\loader\loader.tsx                | TypeScript JSX     |         14 |          0 |          2 |         16 |
| c:\Users\ashis\quizzy\quiz-app\components\magicui\animated-list.tsx        | TypeScript JSX     |         62 |          0 |         11 |         73 |
| c:\Users\ashis\quizzy\quiz-app\components\magicui\iphone-15-pro.tsx        | TypeScript JSX     |        106 |          0 |          4 |        110 |
| c:\Users\ashis\quizzy\quiz-app\components\magicui\marquee.tsx              | TypeScript JSX     |         49 |         22 |          3 |         74 |
| c:\Users\ashis\quizzy\quiz-app\components\magicui\rainbow-button.tsx       | TypeScript JSX     |         25 |          3 |          4 |         32 |
| c:\Users\ashis\quizzy\quiz-app\components\magicui\safari.tsx               | TypeScript JSX     |        181 |          0 |          4 |        185 |
| c:\Users\ashis\quizzy\quiz-app\components\profile\profile.tsx              | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\ashis\quizzy\quiz-app\components\quiz-render\MarkdownRender.tsx   | TypeScript JSX     |         34 |          2 |          4 |         40 |
| c:\Users\ashis\quizzy\quiz-app\components\theme-provider.tsx               | TypeScript JSX     |          9 |         18 |          7 |         34 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\accordion.tsx                 | TypeScript JSX     |         50 |          0 |          9 |         59 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\alert-dialog.tsx              | TypeScript JSX     |        127 |          0 |         15 |        142 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\alert.tsx                     | TypeScript JSX     |         53 |          0 |          7 |         60 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\aspect-ratio.tsx              | TypeScript JSX     |          4 |          0 |          4 |          8 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\avatar.tsx                    | TypeScript JSX     |         44 |          0 |          7 |         51 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\badge.tsx                     | TypeScript JSX     |         31 |          0 |          6 |         37 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\breadcrumb.tsx                | TypeScript JSX     |        105 |          0 |         11 |        116 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\button.tsx                    | TypeScript JSX     |         51 |          0 |          6 |         57 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\calendar.tsx                  | TypeScript JSX     |        203 |          0 |         11 |        214 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\card.tsx                      | TypeScript JSX     |         71 |          0 |          9 |         80 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\carousel.tsx                  | TypeScript JSX     |        232 |          0 |         31 |        263 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\chart.tsx                     | TypeScript JSX     |        327 |          2 |         37 |        366 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\checkbox.tsx                  | TypeScript JSX     |         26 |          0 |          5 |         31 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\collapsible.tsx               | TypeScript JSX     |          6 |          0 |          6 |         12 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\command.tsx                   | TypeScript JSX     |        136 |          0 |         18 |        154 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\context-menu.tsx              | TypeScript JSX     |        182 |          0 |         19 |        201 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\dialog.tsx                    | TypeScript JSX     |        109 |          0 |         14 |        123 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\drawer.tsx                    | TypeScript JSX     |        105 |          0 |         14 |        119 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\dropdown-menu.tsx             | TypeScript JSX     |        182 |          0 |         19 |        201 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\form.tsx                      | TypeScript JSX     |        153 |          0 |         26 |        179 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\hover-card.tsx                | TypeScript JSX     |         23 |          0 |          7 |         30 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\input-otp.tsx                 | TypeScript JSX     |         63 |          0 |          9 |         72 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\input.tsx                     | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\label.tsx                     | TypeScript JSX     |         21 |          0 |          6 |         27 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\menubar.tsx                   | TypeScript JSX     |        217 |          0 |         20 |        237 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\navigation-menu.tsx           | TypeScript JSX     |        117 |          0 |         12 |        129 |
