"filename", "language", "Markdown", "JavaScript", "JSON", "TypeScript", "MS SQL", "JSON with Comments", "XML", "PostCSS", "TypeScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\ashis\quizzy\quiz-app\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 10, 62
"c:\Users\ashis\quizzy\quiz-app\components\ui\toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 7, 46
"c:\Users\ashis\quizzy\quiz-app\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 8, 31
"c:\Users\ashis\quizzy\quiz-app\components\ui\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"c:\Users\ashis\quizzy\quiz-app\components\ui\use-toast.ts", "TypeScript", 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 3, 32, 195
"c:\Users\ashis\quizzy\quiz-app\hooks\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"c:\Users\ashis\quizzy\quiz-app\hooks\use-toast.ts", "TypeScript", 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 3, 32, 195
"c:\Users\ashis\quizzy\quiz-app\lib\api.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\ashis\quizzy\quiz-app\lib\types.ts", "TypeScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 11, 74
"c:\Users\ashis\quizzy\quiz-app\lib\utils.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ashis\quizzy\quiz-app\middleware.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 7, 25
"c:\Users\ashis\quizzy\quiz-app\next.config.mjs", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 15
"c:\Users\ashis\quizzy\quiz-app\package.json", "JSON", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77
"c:\Users\ashis\quizzy\quiz-app\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3178, 0, 658, 3836
"c:\Users\ashis\quizzy\quiz-app\postcss.config.mjs", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\ashis\quizzy\quiz-app\public\menu.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\ashis\quizzy\quiz-app\public\placeholder-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\quizzy\quiz-app\public\placeholder.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\quizzy\quiz-app\store\auth.ts", "TypeScript", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 2, 8, 89
"c:\Users\ashis\quizzy\quiz-app\styles\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 1, 12, 106
"c:\Users\ashis\quizzy\quiz-app\tailwind.config.ts", "TypeScript", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 3, 122
"c:\Users\ashis\quizzy\quiz-app\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"c:\Users\ashis\quizzy\quiz-backend\drizzle.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\ashis\quizzy\quiz-backend\drizzle\0000_reflective_ser_duncan.sql", "MS SQL", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 5, 0, 45
"c:\Users\ashis\quizzy\quiz-backend\drizzle\meta\0000_snapshot.json", "JSON", 0, 0, 301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 301
"c:\Users\ashis\quizzy\quiz-backend\drizzle\meta\_journal.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\ashis\quizzy\quiz-backend\package.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\ashis\quizzy\quiz-backend\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1628, 0, 468, 2096
"c:\Users\ashis\quizzy\quiz-backend\src\ai\parsedoc\doc.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\ashis\quizzy\quiz-backend\src\ai\pinecone.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 106
"c:\Users\ashis\quizzy\quiz-backend\src\app.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\ashis\quizzy\quiz-backend\src\config\db\index.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\ashis\quizzy\quiz-backend\src\config\db\schema.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Users\ashis\quizzy\quiz-backend\src\controllers\auth.controller.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 70
"c:\Users\ashis\quizzy\quiz-backend\src\controllers\quiz.controller.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 92
"c:\Users\ashis\quizzy\quiz-backend\src\controllers\result.controller.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 73
"c:\Users\ashis\quizzy\quiz-backend\src\middlewares\auth.middleware.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 42
"c:\Users\ashis\quizzy\quiz-backend\src\middlewares\upload.middleware.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 35
"c:\Users\ashis\quizzy\quiz-backend\src\routes\auth.routes.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\ashis\quizzy\quiz-backend\src\routes\quiz.routes.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 32
"c:\Users\ashis\quizzy\quiz-backend\src\routes\result.routes.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16
"c:\Users\ashis\quizzy\quiz-backend\src\seed.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 52
"c:\Users\ashis\quizzy\quiz-backend\src\server.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\ashis\quizzy\quiz-backend\src\utils\ai.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 59
"c:\Users\ashis\quizzy\quiz-backend\src\utils\calculateresult.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 76
"c:\Users\ashis\quizzy\quiz-backend\src\utils\chunk.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\ashis\quizzy\quiz-backend\src\utils\delete.file.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\ashis\quizzy\quiz-backend\src\utils\jwt.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20
"c:\Users\ashis\quizzy\quiz-backend\src\utils\parsepdf.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\ashis\quizzy\quiz-backend\src\utils\readfile.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"Total", "-", 465, 701, 442, 638, 40, 27, 5, 200, 8653, 4806, 134, 2309, 18420
